Thumb_R	Index_R	Thumb_L	Index_L	Time
0.0	0.0	0.0	0.0	0.04
0.0	0.0	0.0	0.0	0.08
0.0	0.0	0.0	0.0	0.12
0.0	0.0	0.0	0.0	0.16
0.0	0.0	0.0	0.0	0.2
0.0	0.0	0.0	0.0	0.24
0.0	0.0	0.0	0.0	0.28
0.0	0.0	0.0	0.0	0.32
0.0	0.0	0.0	0.0	0.36
0.0	0.0	0.0	0.0	0.4
0.0	0.0	0.0	0.0	0.44
0.0	0.0	0.0	0.0	0.48
0.0	0.0	0.0	0.0	0.52
0.0	0.0	0.0	0.0	0.56
0.0	0.0	0.0	0.0	0.6
0.0	0.0	0.0	0.0	0.64
0.0	0.0	0.0	0.0	0.68
0.0	0.0	0.0	0.0	0.72
0.0	0.0	0.0	0.0	0.76
0.0	0.0	0.0	0.0	0.8
0.0	0.0	0.0	0.0	0.84
0.0	0.0	0.0	0.0	0.88
0.0	0.0	0.0	0.0	0.92
0.0	0.0	0.0	0.0	0.96
0.0	0.0	0.0	0.0	1.0
0.0	0.0	0.0	0.0	1.04
0.0	0.0	0.0	0.0	1.08
0.0	0.0	0.0	0.0	1.12
0.0	0.0	0.0	0.0	1.16
0.0	0.0	0.0	0.0	1.2
0.0	0.0	0.0	0.0	1.24
0.0	0.0	0.0	0.0	1.28
0.0	0.0	0.0	0.0	1.32
0.0	0.0	0.0	0.0	1.36
0.0	0.0	0.0	0.0	1.4
0.0	0.0	0.0	0.0	1.44
0.0	0.0	0.0	0.0	1.48
0.0	0.0	0.0	0.0	1.52
0.0	0.0	0.0	0.0	1.56
0.0	0.0	0.0	0.0	1.6
0.0	0.0	0.0	0.0	1.64
0.0	0.0	0.0	0.0	1.68
0.0	0.0	0.0	0.0	1.72
0.0	0.0	0.0	0.0	1.76
0.0	0.0	0.0	0.0	1.8
0.0	0.0	0.0	0.0	1.84
0.0	0.0	0.0	0.0	1.88
0.0	0.0	0.0	0.0	1.92
0.0	0.0	0.0	0.0	1.96
0.0	0.0	0.0	0.0	2.0
0.0	0.0	0.0	0.0	2.04
0.0	0.0	0.0	0.0	2.08
0.0	0.0	0.0	0.0	2.12
0.0	0.0	0.0	0.0	2.16
0.0	0.0	0.0	0.0	2.2
0.0	0.0	0.0	0.0	2.24
0.0	0.0	0.0	0.0	2.28
0.0	0.0	0.0	0.0	2.32
0.0	0.0	0.0	0.0	2.36
0.0	0.0	1883.0839641064488	1800.7940654517536	2.4
1962.0394123090616	1783.8993663442668	0.0	0.0	2.44
0.0	0.0	0.0	0.0	2.48
0.0	0.0	1803.2310411283197	1646.7931445158486	2.52
0.0	0.0	1668.9024230642724	1596.8271632854648	2.56
0.0	0.0	1627.7283921913822	1568.2921030086266	2.6
0.0	0.0	1585.4335725951748	1538.064252690945	2.64
0.0	0.0	1561.8271709431208	1519.1891083096048	2.68
0.0	0.0	1533.8875507764617	1498.8821519711394	2.72
0.0	0.0	1502.268041393313	1477.5941905715854	2.76
0.0	0.0	1475.1359492248544	1451.355960316053	2.8
1433.7454308956376	1413.8650009432133	433.9257317156128	426.3382618084342	2.84
1369.1969794737915	1350.344637558788	470.9228698514672	455.3778325652141	2.88
1303.7891682763116	1282.7573128287274	517.2649277826721	492.9338297883269	2.92
1259.0226014989062	1233.9114113879814	583.9483880776415	585.295518867347	2.96
1223.0850278855655	1195.3225408605904	685.7187809497769	679.4153998666038	3.0
1208.9709881546416	1164.9931656118856	806.6009235354226	780.251442654119	3.04
1199.1187986847456	1134.568277496646	904.5624756812488	847.0643731236727	3.08
1187.176976403321	1109.915914402757	956.33168645282	891.9801723166962	3.12
1167.4434578143023	1089.4730850211845	992.2514719052652	933.1432713338904	3.16
1150.9086803491155	1079.940928869532	1003.1106092717614	948.5291195633793	3.2
1138.9457400434183	1094.6866472723555	989.0734509872898	943.991335750294	3.24
1138.010396354948	1092.584392222769	979.399271835614	936.3637425771109	3.28
1128.5404130164945	1077.2542667544546	963.8552614880531	926.1432074964162	3.32
1126.0049267056197	1061.5752180838324	945.1619561079805	916.8273961227777	3.36
1111.9541696063916	1046.7018403037064	932.4191172389438	910.1631364332831	3.4
1120.1750088602953	1032.1898545416195	921.6687940910027	912.9754218147677	3.44
1129.076600400443	1006.5497790952744	920.4963314565384	920.2655193902275	3.48
1130.0482994044098	1008.8536687658741	932.0852748309399	936.1618728088324	3.52
1138.5440592347281	1011.9563727760511	969.7250223623662	942.166575794915	3.56
1139.9318934547107	1016.3963035549257	964.8435719358985	940.6776819870834	3.6
1142.9737298326336	1019.2532405052731	957.2906888835673	927.7261044716511	3.64
1145.0220574433126	1033.9686781194362	951.5408122858469	933.5707797456812	3.68
1145.8110233007365	1033.0410974606414	949.4383571980293	934.2535881712134	3.72
1136.6913030042901	1038.110904599544	942.0426024935051	913.3778993143218	3.76
1122.906527939879	1008.3107598581649	921.8558494372312	915.7228345836108	3.8
1107.691953027646	997.6806114626929	914.2434798320327	911.8531519242428	3.84
1104.2999837445514	962.4877464740847	908.8651866657913	903.1532685334698	3.88
1103.6036279516425	964.3705728101534	895.2203653270177	891.0704346049412	3.92
1107.517762956404	969.3213500909643	836.6268134497817	879.2654094655363	3.96
1126.2470356169445	986.8966339915505	739.6455464192334	780.7047133203604	4.0
1142.2692812887942	1005.8923110711323	672.5675253608176	681.1705554169333	4.04
1143.7683507246736	1019.2454375874107	670.1961098092477	635.7561770592761	4.08
1141.0420770930784	1020.4751280787406	684.4800795402502	628.9780009998581	4.12
1138.1258988294292	1022.441557949146	694.8246810221294	644.2422360518766	4.16
1139.2429850879653	1026.0858258110268	714.5000920783314	661.6068468475415	4.2
1146.8202064569075	1032.2668020042695	730.891367847091	679.9947195947401	4.24
1154.6301890293867	1042.903666337448	754.9837462639774	704.3480157895063	4.28
1165.9318130032227	1052.3450070577449	783.4842347890351	737.8813897746677	4.32
1168.751327895897	1061.53641834597	803.96502905147	765.4431639309543	4.36
1163.9874392414904	1060.2908044758665	813.3695122495286	776.4823086768286	4.4
1159.5469694049066	1056.9010286531532	817.8945637610149	780.1502034776767	4.44
1153.4179533729362	1053.6170154056078	827.6208253487926	794.9313649222136	4.48
1145.3258733769524	1047.994889911057	843.5514747251684	805.8809731680145	4.52
1138.237453645188	1038.367709012348	851.3534510890954	812.3942305014546	4.56
1125.9335160213575	1030.2512217779463	855.2695152019834	812.070491989069	4.6
1107.2624529120812	1013.1380778595152	844.8203492201347	799.8685336374948	4.64
1086.6692562079827	996.8387997092663	835.6714396377917	783.7034374335725	4.68
1058.5089124291114	977.4149006887444	824.0693274152106	761.6951104297202	4.72
1045.8781266979156	959.138558410367	810.2882161143899	732.6124075074483	4.76
1034.228568411811	968.7526355142737	800.1110547089224	717.4051866369937	4.8
1026.9237087352503	971.4877894078588	808.1615197479979	724.5695828454551	4.84
1025.4730743577506	976.6840161106303	834.0207018051495	770.1766855919933	4.88
1030.3416141037476	977.194686469566	875.8436005242714	860.4139987094851	4.92
1040.8001617415828	994.7936488093102	940.856942460602	931.8306860881355	4.96
1039.4370225972973	1004.2949997119123	964.1421955051187	981.0787280816439	5.0
1033.5266688237848	1004.2751234405997	984.1408632464904	998.7094322030575	5.04
1034.1943873877556	1009.8785592891277	984.1484673673967	1018.2575303244922	5.08
1036.1430907004628	1011.5685505243829	986.0624344388686	1014.8961053994146	5.12
1035.7925504673785	1009.6950559687373	988.6173478198752	1003.133034487227	5.16
1036.6801253257217	1005.5238577100855	987.9585808207613	1019.208432267441	5.2
1035.8617515721241	998.0083754407378	977.9459587952747	1025.6439663551887	5.24
1038.8183868532496	993.300099669723	988.4493369128844	1005.793538447025	5.28
1041.8957568567555	1002.612514218961	993.4769106473257	1080.9901141752355	5.32
1043.5512957352282	998.6351576290324	1000.3637392733198	1097.2618599496361	5.36
1044.7889833037539	1001.9722864128987	1011.1480820201645	1096.0670454257852	5.4
1041.9685045489202	1006.6926996814417	1013.4736589294452	1109.1529830031666	5.44
1043.4782213396659	1019.796921601301	1014.1155437665533	1116.8744032599386	5.48
1048.38265615989	1040.4917697100848	1009.9334120779693	1123.8658358912278	5.52
1061.0747470951112	1060.0854342609837	1020.9602259352704	1132.832727621176	5.56
